ID,Latitude,Longitude,Nabs,Eabs
0,35.7097385796667,140.489433581333,59366.9154137712,-32004.7138537836
1,35.7096988391667,140.489455784167,59368.9539257807,-32009.1094296892
2,35.7096874538333,140.489486903,59371.7781830494,-32010.3537518812
3,35.7096874245,140.489486875333,59371.7757013631,-32010.3570229987
4,35.70965482,140.4895042955,59373.3761607977,-32013.9637881361
5,35.7096697111667,140.489544685333,59377.0198260591,-32012.2872578844
6,35.7097025938333,140.489527281167,59375.4206068818,-32008.6496225362
7,35.7097302981667,140.489539176,59376.4763729613,-32005.568773551
8,35.7103626123333,140.491207662833,59526.9805756936,-31934.4061786432
9,35.710362676,140.491207701333,59526.9840120265,-31934.3990918037
10,35.7104042698333,140.491190207667,59525.3701683885,-31929.7950772047
11,35.7105282898333,140.491117869,59518.7323941999,-31916.0795574426
12,35.710539618,140.491103089833,59517.3866805736,-31914.8317167054
13,35.7122138145,140.4901492125,59429.8322661648,-31729.6661127057
14,35.7122055696667,140.490122123833,59427.3873232809,-31730.5972366998
15,35.710529987,140.491074143667,59514.7746497212,-31915.9177783878
16,35.7105141973333,140.491078823667,59515.2098577056,-31917.6667237136
17,35.7103895665,140.4911514925,59521.8779568389,-31931.4498146481